Mobile =  296  AMPages =  368
seq	sites	mobile	AMPage	Mobile-AMPage
0	google-begins-experimenting-mobile-first-index-hopes-expand-upcoming-months-262527	4304.466889	19210.246778	-14905.779889000001
1	google-test-hotel-reviews-grouped-traveler-type-categories-274343	17550.683852	6817.211063	10733.472789
2	attend-smx-advanced-seo-sem-tactics-work-rates-increase-next-week-272110	8312.636325	12810.507127	-4497.870802000001
3	good-isnt-good-enough-google-shopping-274813	29187.735746	27635.420891	1552.314854999997
4	organic-traffic-link-building-small-businesses-269353	19950.053238	22058.239933	-2108.1866950000003
5	three-well-meaning-paid-search-optimizations-might-kill-performance-266550	28864.04454	7107.016205	21757.028335
6	early-performance-results-googles-update-close-variants-277214	10382.898684	10458.429924	-75.53124000000025
7	you-have-to-own-your-own-back-yard-264017	31592.756022	20527.524755	11065.231267000003
8	smx-advanced-ama-google-search-276924	27300.223281	21006.652595	6293.570685999999
9	paid-search-trends-merkle-q1-2017-274043	13821.322768	27413.395522	-13592.072753999999
10	building-marketing-technology-team-bring-martech-270819	29118.68725	20082.998435	9035.688814999998
11	see-attends-martech-273260	2465.90202	31103.49873	-28637.596709999998
12	7-fundamental-technical-seo-questions-to-answer-with-a-log-analysis-and-how-to-easily-do-it-245903	15528.678102	25407.281989	-9878.603887
13	advanced-seos-need-know-algorithm-updates-277147	28937.080763	29405.046735	-467.96597199999815
14	bing-ads-standard-text-ad-support-end-july-31-2017-274898	4932.416368	28489.809333	-23557.392965
15	youll-love-smx-west-speaker-lineup-269493	21709.357641	22585.722992	-876.3653510000004
16	6-local-marketing-lessons-learned-comiccon-225449	26483.402121	10808.523238	15674.878883
17	searchcap-google-io-news-google-buy-button-program-todays-google-doodle-275270	24653.723421	19843.108848	4810.614572999999
18	searchcap-google-posts-live-google-purges-medical-records-search-pics-277780	14909.2723	18840.764837	-3931.4925369999983
19	printing-way-seo-success-248035	26560.657606	28743.569801	-2182.912195000001
20	10-local-link-building-tips-2016-240915	29487.258786	9995.848584	19491.410202
21	google-search-partner-network-friend-foe-241291	22782.356442	7702.349066	15080.007376000001
22	wsj-google-traffic-down-276387	21288.653967	10076.202771	11212.451195999998
23	kobe-bryant-teach-succeeding-adwords-247865	5821.152815	3074.289837	2746.8629780000006
24	seo-content-convergence-making-moments-matter-276544	16779.118326	30591.844541	-13812.726214999999
25	reminder-live-webinar-track-qualify-convert-leads-using-call-sms-data-275164	17764.006891	19511.932631	-1747.9257399999988
26	35-ways-improve-seo-sem-performance-smx-advanced-275130	12949.146641	20656.372088	-7707.225447000001
27	search-engine-lands-engaging-stories-2016-whole-lotta-google-266825	23989.304165	23310.577705	678.7264600000017
28	forget-unique-content-try-actually-local-260294	15821.63378	4756.728323	11064.905457
29	search-engine-land-seo-survey-220851	12364.354558	26736.569204	-14372.214645999999
30	zaha-hadid-google-doodle-honors-first-woman-win-pritzker-architecture-prize-276027	6456.003795	8044.699951	-1588.696156
31	beginners-guide-bing-ads-management-274706	3347.841322	11855.54461	-8507.703288
32	searchcap-pinterst-lens-seo-budgets-reviews-user-behavior-277596	29046.94495	11228.993597	17817.951353
33	susan-la-flesche-picotte-google-doodle-pays-homage-1st-american-indian-earn-medical-degree-277263	29790.785963	7188.544519	22602.241444
34	iac-buying-angies-list-will-combine-homeadvisor-new-public-company-274233	18027.78562	7959.632287	10068.153332999998
35	know-thy-enemy-local-seo-art-war-231891	22286.717577	14814.55752	7472.160056999999
36	5-questions-select-right-structure-international-websites-233301	29828.790942	14610.279825	15218.511117
37	ppc-strategy-planning-beyond-click-276678	26998.093148	18699.210616	8298.882532
38	3-google-adwords-hacks-drive-high-quality-leads-250161	27756.909432	29594.710999	-1837.8015669999986
39	searchcap-offline-conversion-imports-adwords-google-business-updates-275341	11534.338524	23672.778296	-12138.439772
40	google-merchant-center-multiple-account-login-273139	3662.929315	6146.828852	-2483.899537
41	ready-black-friday-2016-3-critical-e-commerce-seo-configurations-avoid-common-issues-262040	20741.519325	8396.587152	12344.932173000001
